titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
A Wizard of Earthsea - Cookbook,9782934453640,Charles Duhigg,Packt Publishing,1991-05-13,eng,925
Mindfulness - Applied,9787681349789,Kurt Vonnegut,Scribner,1929-01-21,spa,1411
Cem Anos de Solidão - Edição Anotada,9788623029103,Clayton Christensen,Prentice Hall,1924-11-08,por,643
Hyperion - Vol. 2,9785320650777,Chris Richardson,Orbit,1910-10-03,eng,297
O Sol Também Se Levanta - Edição Definitiva,9781412300247,Kief Morris,Pearson,1936-01-02,eng,621
Ender's Game - Edição Anotada,9785927038930,Charles Duhigg,MIT Press,1988-03-04,ita,285
O Ser e o Nada - Nível Iniciante,9782653384225,Neal Ford,Oxford University Press,1937-12-09,eng,1398
Catch-22 - in Action,9784847565755,Michio Kaku,Vintage Books,1960-06-20,eng,683
Snow Crash - Vol. 2,9789867762542,Chris Richardson,Bantam Spectra,1934-12-23,eng,288
The Bell Jar - 4ª Edição,9789504427629,Andy Weir;Stuart Russell;Steven Pinker,Signet Classic,2022-11-07,por,406
Factfulness - 2018,9786553651005,Michael Feathers,Houghton Mifflin,1989-01-09,eng,678
Remote - Applied,9785182369657,Christopher Bishop,Sams Publishing,1917-05-12,por,434
Blood Meridian - Edição Revisada,9787245560544,Dan Simmons,Leya,2005-11-23,zho,170
Deep Learning - 2024,9782633131528,Neil deGrasse Tyson,Record,1985-06-21,spa,474
The Left Hand of Darkness - Edição Integral,9782669030987,Nick Bostrom;Angela Duckworth,Apress,2024-06-06,fra,245
Kubernetes in Action - Vol. 1,9788359017153,John Steinbeck,Tor Books,1961-12-21,por,132
Os Miseráveis - Nível Avançado,9789147950102,Cal Newport;Robert Sedgewick,MIT Press,1924-04-22,por,917
Crítica da Razão Pura - Fundamentals,9782625684063,Johann Hari,Tor Books,1973-06-10,eng,1246
Neuromancer - Reference,9781532694424,Martin Kleppmann;Martin Fowler,Simon & Schuster,1910-09-15,eng,458
Remote - Guia Prático,9788989778899,Fyodor Dostoevsky;Trevor Hastie,HarperCollins,1982-01-11,por,103
The Double Helix - 2018,9787833962460,Simon Sinek;Fyodor Dostoevsky;Kay Redfield Jamison,Yale University Press,1973-03-28,kor,283
Working Effectively with Legacy Code - 2021,9785526110167,Orson Scott Card,Record,1997-10-07,eng,1308
The Body Keeps the Score - Edição Premium,9780288055022,Mark Richards,Little Brown,1962-11-12,eng,1254
The Emperor's New Mind - 2019,9780888119773,Hans Rosling,Iluminuras,1936-10-02,eng,59
Admirável Mundo Novo - 2020,9785006042926,Fyodor Dostoevsky;Anton Chekhov,Intrínseca,1907-06-20,kor,715
Notes from Underground - Edição Clássica,9783178258824,Jorge Luis Borges,McGraw-Hill,1981-10-12,eng,959
A Arte da Guerra - Tomo I,9785562558640,Thomas Mann,Harvard University Press,1937-06-28,eng,110
The Trial - Reference,9783851847499,Dan Ariely,Scribner,1937-02-14,por,1170
The Castle - 5ª Edição,9784219309765,David Foster Wallace,Bloom,1989-04-23,deu,985
Domain-Driven Design - Edição Ilustrada,9785693927605,James Clear,Simon & Schuster,1927-09-17,eng,740
Competitive Programming - Nível Iniciante,9781082036958,Angela Duckworth,Companhia das Letras,2021-11-18,por,1076
O Senhor dos Anéis - 2016,9789447445377,Christopher Bishop,Pragmatic Bookshelf,1968-03-01,por,534
O Hobbit - Parte 2,9785926803393,Orson Scott Card,HarperCollins,1958-08-26,zho,963
The Brain That Changes Itself - Nível Avançado,9789288956469,Brendan Burns;Franz Kafka,Puffin Books,2020-02-25,jpn,998
No Country for Old Men - Edição Especial,9787301990551,Aldous Huxley,Oxford University Press,1990-10-22,por,458
Rework - in Action,9781028095445,Toni Morrison,Pearson,2012-09-13,por,1416
Os Miseráveis - Edição Anotada,9781198790430,William Faulkner,Springer,2017-05-23,eng,1389
Good Omens - Edição Bilíngue,9789328325330,Jim Collins,O'Reilly Media,1922-11-22,eng,1450
Zero to One - Vol. 5,9787345738720,Roger Penrose,Bantam Spectra,1991-05-15,eng,580
Estoicismo - Edição Ampliada,9781661831806,Joseph Heller,Apress,2013-07-17,por,510
Algorithm Design - 2ª Edição,9781607558941,Carl Sagan,Little Brown,1916-05-08,eng,825
A Arte da Guerra - Parte 2,9781564185174,Jim Collins,Oxford University Press,1942-03-09,eng,402
Good Omens - Reference,9788550726878,Baron Schwartz,Companhia das Letras,1919-07-26,eng,1222
O Pequeno Príncipe - Patterns and Practices,9781314211085,Robert C. Martin,Doubleday,1908-11-14,eng,1338
The Idiot - Essentials,9783787586103,Chico Buarque;Neil Gaiman,MIT Press,1979-06-25,kor,898
The Gifts of Imperfection - 2023,9786333618167,Michio Kaku;Arthur C. Clarke,Del Rey,1931-04-20,eng,446
Effective Java - Reference,9780274259236,Jorge Luis Borges,Penguin Books,2012-12-27,eng,653
The Power of Habit - Tomo III,9781641663366,Thomas Mann,Vintage Books,1953-08-14,por,1038
Siddhartha - Illustrated,9780294321173,Anton Chekhov,Harvard University Press,1922-12-02,por,1269
Remote - Edição Ampliada,9783231465558,Robert Sedgewick;Wes McKinney,Houghton Mifflin,1954-01-06,eng,828
The Mythical Man-Month,9784919549911,Clarice Lispector;Steven Pinker,Tor Books,1979-07-09,zho,526
The Gene - Parte 2,9780362535167,Isabel Allende,Addison-Wesley,2016-07-02,eng,69
Dom Casmurro - Step by Step,9782573581209,Jennifer Doudna,Sams Publishing,1943-02-03,eng,447
Predictably Irrational - Handbook,9781425970413,Mark Richards,Penguin Books,1970-08-26,eng,482
The Cherry Orchard - Edição Clássica,9782788471258,Carol Dweck;Chris Richardson,Pearson,2001-02-05,por,186
Designing Distributed Systems - Vol. 1,9787279815191,Leo Tolstoy;Marcel Proust,Scribner,1935-03-12,fra,1312
A Montanha Mágica - 4ª Edição,9786900497652,Neal Ford,Record,1927-11-28,por,177
The Lean Startup - Nova Edição,9789784155977,Neil deGrasse Tyson,Knopf,1972-01-23,eng,620
Docker Deep Dive - Nível Intermediário,9787144410650,Kay Redfield Jamison,Norton,1961-07-08,por,1325
Structure and Interpretation of Computer Programs - Edição Integral,9784282522306,Italo Calvino;Ursula K. Le Guin,Leya,1999-10-08,eng,394
Structure and Interpretation of Computer Programs - Edição Clássica,9789718652299,Thomas Pynchon,Bloom,1927-02-04,fra,341
Measure What Matters - 2021,9785119868376,Italo Calvino,Prentice Hall,1993-04-02,fra,1400
The Emperor's New Mind - 2024,9782838539839,Thomas Pynchon,Sams Publishing,1918-04-08,rus,598
Software Architecture in Practice - in Depth,9785855811353,Steven Skiena,Orbit,1946-06-14,fra,1327
Clean Architecture - Nível Intermediário,9781411988699,Douglas Adams,Random House,1960-05-26,eng,211
Siddhartha - Tomo II,9788046597302,Günter Grass;Kay Redfield Jamison,Wiley,2009-09-28,eng,686
The Intelligent Investor - 4ª Edição,9785482669105,Kent Beck,Rocco,1931-10-23,eng,1348
The Body Keeps the Score - Reference,9784095113524,Graciliano Ramos,Anchor Books,2024-08-14,spa,700
Guerra e Paz - Edição Ilustrada,9781534246652,Angela Duckworth;William Faulkner,Companhia das Letras,1964-10-08,eng,1498
A Origem das Espécies - Edição de Bolso,9789908159249,Wes McKinney;Malcolm Gladwell;Fyodor Dostoevsky,Intrínseca,1985-03-26,eng,1135
Sobre a Brevidade da Vida - 4ª Edição,9783003607537,Steven Skiena,St. Martin's Press,1917-11-09,por,690
A Arte da Sedução - Nível Avançado,9785942848316,Juan Rulfo;Michael Feathers,Orbit,2004-05-18,por,1328
O Idiota - 2020,9783801258054,Fyodor Dostoevsky;Kent Beck,Prentice Hall,1937-02-18,eng,603
Factfulness - Edição Definitiva,9785127028144,Robert Sedgewick;Ivan Turgenev;Dan Simmons,Cosac Naify,1906-03-25,eng,1429
A Montanha Mágica - Edição Integral,9783740547820,Fyodor Dostoevsky,Manning Publications,2009-11-15,spa,1461
When Genius Failed - Edição Ilustrada,9788486427467,Frank Herbert,McGraw-Hill,1973-03-03,eng,674
The Aleph - Illustrated,9785421324096,Ursula K. Le Guin,Cosac Naify,2024-10-06,spa,718
Underworld - A Deep Dive,9780678894675,Christopher Bishop;Betsy Beyer;Steve McConnell,Sams Publishing,1965-06-27,eng,662
Estoicismo - Guia Completo,9789472214696,Ian Goodfellow,Pragmatic Bookshelf,2023-11-28,spa,942
Factfulness - The Complete Guide,9780082491040,Cal Newport,Apress,1948-08-22,por,1333
Project Hail Mary - 2019,9781656501608,Michael Feathers,Scribner,1935-05-19,eng,935
The Emperor's New Mind - Parte 1,9787111023173,Nick Bostrom;Thomas Pynchon,HarperCollins,1983-06-05,spa,754
The Double Helix - Edição Definitiva,9782114213774,Anton Chekhov,Tor Books,1901-08-13,eng,464
Anathem - Parte 3,9782766983445,Christopher Bishop;John Steinbeck,Objetiva,1988-09-03,eng,869
A Hora da Estrela - 2021,9784420662512,Clarice Lispector,Vintage Books,1906-12-23,por,935
Uma Breve História do Tempo - Edição Ilustrada,9782275727912,Richard Feynman,Objetiva,1987-01-16,eng,493
Ficciones - Cookbook,9788011741747,Nikolai Gogol;Michael Feathers,Houghton Mifflin,1908-11-13,zho,490
Influence - Edição Especial,9784309343112,Cal Newport,Vintage Books,1991-05-24,eng,1486
The Castle - Edição Definitiva,9788256333080,Simon Sinek;Don DeLillo,Pearson,1919-07-23,eng,1497
Clean Architecture - 3ª Edição,9781443946636,Robert Cialdini;Chris Richardson,Penguin Books,2010-04-20,por,764
São Bernardo - Tomo III,9785094286530,Anton Chekhov;Stephen Hawking,Yale University Press,1996-08-02,por,845
Foundation - 2ª Edição,9781147729191,Machado de Assis;Clarice Lispector,Manning Publications,1996-09-16,por,393
Moby Dick - Parte 1,9785652439293,Steve McConnell,Martins Fontes,1941-04-09,por,1429
Oblomov - Nível Intermediário,9786015386056,Orson Scott Card,O'Reilly Media,1999-01-05,eng,54
The Road - 2016,9787586689010,David Foster Wallace,Planeta,1914-07-10,por,1365
Poder sem Limites - Edição Anotada,9789112035315,Gabriel García Márquez;Sam Newman,Yale University Press,1995-10-08,eng,824
O Pequeno Príncipe - Edição Definitiva,9782554402547,Juan Rulfo;Michio Kaku;Milton Hatoum,Cosac Naify,1940-07-28,eng,1423
O Idiota - Vol. 1,9784625835452,Baron Schwartz;Clarice Lispector,HarperCollins,1999-09-15,eng,208
A Origem das Espécies - Nível Iniciante,9788503523356,Isabel Allende,Martins Fontes,1977-08-13,eng,1335
Anna Karenina - Best Practices,9789845733052,Viktor Frankl,Knopf,1985-08-17,fra,288
Ser e Tempo - Applied,9784584161029,Eric Ries;Douglas Adams,Crown,1916-09-02,eng,307
Refactoring - Edição Definitiva,9783988098948,Stuart Russell;Kay Redfield Jamison,Little Brown,2022-06-25,por,596
A Arte da Guerra - Edição Comemorativa,9781813774487,Ursula K. Le Guin,Simon & Schuster,1951-06-18,spa,409
O Idiota - Edição Ilustrada,9788131103494,Chico Buarque,Penguin Books,1926-03-24,por,1327
The Algorithm Design Manual - Applied,9782191394762,Max Tegmark,Orbit,2017-12-25,por,548
Docker Deep Dive - Nível Iniciante,9782721108043,Ralph Ellison,Objetiva,1969-10-10,ita,1227
High Output Management - Reference,9788224884033,Carol Dweck,HarperCollins,1910-03-05,eng,1005
The Name of the Rose - 2016,9781194860311,Carol Dweck,Bloom,1905-08-05,eng,565
The Martian - Parte 3,9780241361962,Hermann Hesse;Kay Redfield Jamison;Len Bass,Alfaguara,1943-11-16,por,304
Dois Irmãos - The Complete Guide,9783693294307,Len Bass,Bantam Spectra,1951-04-23,eng,881
No Country for Old Men - 5ª Edição,9781645938668,Neil deGrasse Tyson;Hermann Hesse;Jorge Luis Borges,Simon & Schuster,1930-10-14,por,668
Zero to One - Edição Ilustrada,9784747798079,Carl Sagan,Wiley,1904-07-11,eng,226
Good Omens - 2017,9782634558133,Johann Hari,Manning Publications,1913-09-26,eng,872
Refactoring - Edição de Bolso,9785445593614,Clarice Lispector,Pearson,1958-06-20,fra,522
Brave New World - Edição Integral,9786802423780,Neil Gaiman,Harvard University Press,1925-02-01,por,277
Anathem - 2021,9784351760684,William Gibson,Anchor Books,1931-06-19,spa,170
Sapiens - Vol. 4,9780766216907,Aurélien Géron;Thomas Mann,Penguin Books,1912-10-09,por,901
Pálido Ponto Azul - Nível Iniciante,9782118668259,Nikolai Gogol;Paul Clements;Robert Tibshirani,Alfaguara,2016-12-16,eng,407
The Hunger Games - For Beginners,9782569232443,Robert Cialdini,Pearson,1982-04-23,spa,288
Competitive Programming - Tomo II,9788327390226,Angela Duckworth,No Starch Press,1925-12-07,fra,1339
The Emperor of All Maladies - in Practice,9785583769186,Günter Grass,Oxford University Press,2022-10-22,zho,673
Factfulness - A Deep Dive,9781629480145,Carol Dweck;Baron Schwartz;Richard Feynman,Random House,1913-04-01,por,860
A Montanha Mágica - Edição Revisada,9783177576523,Paul Clements,Packt Publishing,1913-07-22,por,358
21 Lições para o Século 21 - Edição Premium,9788546350926,Leo Tolstoy,Crown,1930-09-03,eng,646
O Sol Também Se Levanta - A Deep Dive,9785067863072,Machado de Assis,Princeton University Press,1907-01-04,spa,856
Brave New World - Nível Iniciante,9781153094405,Adam Grant,Record,1932-04-20,por,1429
São Bernardo - Tomo II,9788111177385,Malcolm Gladwell;Dan Ariely,Leya,2011-02-06,fra,670
When Breath Becomes Air - Edição Revisada,9787388245230,Carol Dweck;James Watson,Simon & Schuster,1913-12-09,eng,604
Pedro Páramo - 2022,9789840850006,Peter Norvig,Doubleday,1937-01-20,eng,205
The Brain That Changes Itself - The Complete Guide,9780680979506,Baron Schwartz,Alfaguara,2005-02-25,eng,989
The Emperor of All Maladies - For Beginners,9781700067548,Donald Knuth,Puffin Books,1988-02-21,por,120
Algorithm Design - Parte 3,9781350482906,Neal Stephenson,Apress,1967-07-23,por,420
Building Microservices - 2023,9783571511984,Steve McConnell;Anton Chekhov;H.G. Wells,McGraw-Hill,1973-12-14,por,1348
Ready Player One - 2021,9788849381436,Max Tegmark;Kevin Wayne,Apress,1900-01-07,eng,877
High Performance MySQL - Edição Anotada,9787555328421,Isabel Allende,Doubleday,2021-05-12,eng,1292
Design Patterns - Best Practices,9788301548780,Hans Rosling;Robert Cialdini,Prentice Hall,2015-08-24,por,487
2001 A Space Odyssey - Vol. 1,9782224456559,Paul Clements,Alfaguara,2018-04-09,eng,650
Fathers and Sons - Vol. 1,9787540189365,Steven Skiena,Leya,1980-01-08,eng,331
Os Miseráveis - Vol. 3,9784070568011,Wes McKinney;F. Scott Fitzgerald;Juan Rulfo,Rocco,1917-10-02,fra,418
Superintelligence - Fundamentals,9782411698144,Graciliano Ramos,Vintage Books,1909-04-22,eng,769
Snow Crash - The Complete Guide,9783456416786,Brené Brown,Signet Classic,1958-10-16,eng,779
A República - 2016,9789940250140,Trevor Hastie,Leya,1953-06-09,fra,598
Introduction to Algorithms - 2ª Edição,9788486481506,Brené Brown,Sams Publishing,1992-11-17,eng,1173
O Hobbit - Tomo II,9780093661821,Ian Goodfellow,Planeta,1948-01-03,por,546
Project Hail Mary - Best Practices,9782325593726,Alex Xu;Stephen Hawking,Manning Publications,1998-01-12,por,921
Admirável Mundo Novo - Edição Ampliada,9789276408550,Malcolm Gladwell,Bloom,1960-03-11,por,189
O Processo - Edição Clássica,9789838598941,Nassim Nicholas Taleb,Rocco,1912-06-10,eng,469
Antifragile - 2021,9789658313540,James Baldwin,Packt Publishing,1948-10-04,eng,758
Fathers and Sons - 2022,9788087163177,Kief Morris;Frank Herbert;Michael Lewis,Addison-Wesley,1977-02-20,eng,702
Lost Connections,9783095578975,H.G. Wells,Iluminuras,1949-07-27,spa,951
A Arte da Sedução - The Complete Guide,9785136693876,Hans Rosling;Nick Bostrom,Addison-Wesley,1937-02-26,eng,1476
Rich Dad Poor Dad - Step by Step,9786212424131,Kevin Wayne,Harvard University Press,2024-08-11,eng,941
The Mythical Man-Month - Tomo II,9782776961778,Chris Richardson;Clarice Lispector,Crown,2011-02-20,eng,1257
The Black Swan - Edição Revisada,9789930577066,Gabriel García Márquez,Record,1960-12-15,por,184
Uma Breve História do Tempo - Cookbook,9788228579942,Roger Penrose;Robert Tibshirani,Addison-Wesley,1953-04-13,eng,861
O Hobbit - Reference,9786576680648,Viktor Frankl;Robert Cialdini,MIT Press,1908-04-16,por,51
White Noise - Nível Intermediário,9781152778696,Clarice Lispector,Martins Fontes,1948-04-28,por,1435
Dead Souls - Nível Iniciante,9785878985222,Charles Duhigg,HarperCollins,1967-06-19,eng,1467
A Arte da Guerra - Guia Prático,9780487411896,Clarice Lispector,Rocco,2019-04-15,eng,1460
The Double Helix - Parte 1,9782884909037,Siddhartha Mukherjee,Knopf,2016-08-21,eng,629
21 Lições para o Século 21 - Edição Atualizada,9786914975313,Steven Pinker;Baron Schwartz,Prentice Hall,1939-04-08,eng,900
Incognito - Patterns and Practices,9784551226119,Kay Redfield Jamison,Addison-Wesley,1954-11-25,por,713
Test Driven Development - 2021,9787580624857,Thomas Pynchon,Tor Books,2009-06-23,eng,956
Thinking in Bets - 5ª Edição,9786723829661,Roger Penrose,No Starch Press,2011-11-27,por,1137
Fahrenheit 451 - Best Practices,9787404822575,Robert Cialdini,Orbit,1920-05-13,eng,159
A Hora da Estrela - Edição Bilíngue,9782413829584,Clayton Christensen,Packt Publishing,1950-12-14,eng,1033
Building Microservices - in Action,9785633034233,Kief Morris,Houghton Mifflin,1946-02-05,eng,1433
Refactoring - Vol. 2,9786008157854,Mark Richards;Don DeLillo,Del Rey,1973-01-16,eng,1103
Antifragile - Vol. 4,9787876529026,Juan Rulfo,Springer,1963-01-23,fra,1380
Incognito - Nova Edição,9784615603023,Richard Feynman,Houghton Mifflin,2013-02-26,eng,1265
The Body Keeps the Score - Illustrated,9785853894563,Carl Sagan,Objetiva,1968-10-25,eng,1011
Freakonomics - Cookbook,9786473486299,Jorge Luis Borges,Little Brown,1971-12-06,eng,788
Docker Deep Dive - Tomo I,9785450079677,Don DeLillo;James Baldwin,Anchor Books,1937-10-18,eng,467
Atomic Habits - Vol. 5,9785718633184,Neal Ford;Cal Newport,Cambridge University Press,1988-04-26,spa,695
Dead Souls - Edição Definitiva,9785550260968,Jonathan Franzen;Nikolai Gogol,McGraw-Hill,1918-06-27,spa,311
Life 3.0 - Parte 2,9782514415341,Steven Skiena,Pragmatic Bookshelf,1908-01-07,por,607
The Bell Jar - in Action,9785342366427,Steven Skiena;Ian Goodfellow,Alfaguara,2000-10-02,zho,766
Dom Casmurro - Tomo I,9784258407262,Carl Sagan;Ernest Hemingway,Addison-Wesley,1923-05-17,eng,862
The DevOps Handbook - 2ª Edição,9783490710888,Steve McConnell,O'Reilly Media,1905-11-12,por,979
An Unquiet Mind - 2017,9789753159630,Seth Godin,Springer,2016-03-25,deu,1426
Good to Great - 2020,9780222715197,Marcel Proust,Oxford University Press,1928-01-09,por,675
Predictably Irrational - Cookbook,9784421603712,Erich Gamma,Crown,1980-07-16,kor,538
When Genius Failed - 2022,9789735599621,Ian Goodfellow,Pearson,1940-05-07,fra,1052
Mindfulness - Tomo II,9785524544889,Suzanne Collins;Milton Hatoum;H.G. Wells,No Starch Press,1923-09-09,eng,639
The Dispossessed - Edição Clássica,9788054991383,Roger Penrose;Marcel Proust,Doubleday,1962-06-04,eng,1408
Dare to Lead - 2ª Edição,9783292397034,Dan Ariely,Vintage Books,1907-04-09,jpn,267
The Cherry Orchard - 2019,9784593957859,Jorge Luis Borges,Orbit,1999-12-08,rus,1162
Clean Code - Cookbook,9783304162001,Peter Norvig,Bloom,2004-11-06,eng,713
Atomic Habits - Edição Premium,9785458915458,Kent Beck;Italo Calvino,Yale University Press,1946-02-24,eng,571
Braving the Wilderness - Guia Prático,9785041865580,Ernest Hemingway,Doubleday,2024-02-08,deu,346
Macunaíma - Parte 2,9782436043585,Richard Dawkins,Objetiva,1930-10-20,spa,1364
Project Hail Mary - Edição Atualizada,9788935810208,Peter Thiel,Princeton University Press,1964-01-25,spa,1354
Antifragile - Nível Avançado,9787101414042,Günter Grass,Leya,1980-04-02,eng,711
O Ser e o Nada - 2019,9781858812793,Yuval Noah Harari,Del Rey,1956-05-28,por,983
Ender's Game - Parte 1,9780364263020,Martin Fowler;Kurt Vonnegut,Record,1946-11-08,por,651
Braving the Wilderness - Edição Comemorativa,9786813374095,Carl Sagan,Farrar Straus and Giroux,1986-08-07,eng,1199
Rework - Vol. 2,9783293811577,J.R.R. Tolkien,Bantam Spectra,1923-06-28,por,314
No Country for Old Men - 2022,9784015359223,Frank Herbert,Farrar Straus and Giroux,1920-04-07,por,1322
PostgreSQL Up and Running - 2017,9787446251142,Don DeLillo,St. Martin's Press,2017-06-20,eng,1019
Assim Falou Zaratustra - 3ª Edição,9785247037736,Ralph Ellison,Packt Publishing,1933-12-08,eng,737
Designing Data-Intensive Applications - 4ª Edição,9787838455233,Stuart Russell,Vintage Books,1922-03-07,por,997
Sprint - Reference,9786696187942,Neil Gaiman;Brené Brown;Steven Skiena,Cosac Naify,1913-10-23,eng,685
Antifragile - Advanced Topics,9787827636629,Anton Chekhov;Kief Morris,Farrar Straus and Giroux,1902-10-17,spa,799
Security Analysis - 2017,9784529751872,Gabriel García Márquez;Günter Grass,Record,1969-05-02,por,609
The War of the Worlds - A Deep Dive,9785436857329,Hermann Hesse,Rocco,1988-10-25,eng,1232
Orgulho e Preconceito - Best Practices,9787599143400,Peter Norvig,Wiley,1968-08-27,spa,75
Atomic Habits - 2019,9785196495519,Richard Dawkins;Joseph Heller,Anchor Books,1955-08-15,por,1112
Ender's Game - Edição Clássica,9782118428693,João Guimarães Rosa,Apress,1985-02-13,por,1415
Designing Data-Intensive Applications - Edição Bilíngue,9787713056548,David Foster Wallace,Tor Books,1938-10-04,spa,1416
Moby Dick - 6ª Edição,9782296457690,Michael Feathers;Andy Weir,Apress,1946-05-20,zho,327
Braving the Wilderness - Edição Clássica,9783682167346,Daniel Kahneman,Del Rey,2005-06-11,eng,83
A Random Walk Down Wall Street - Edição Definitiva,9780144273560,Brian Greene;Neal Ford,Packt Publishing,1998-11-21,por,1366
Working Effectively with Legacy Code - Edição Ampliada,9781346741727,Erich Gamma,Puffin Books,1949-12-14,deu,1445
Pattern Recognition and Machine Learning - A Deep Dive,9786496425350,Clayton Christensen,O'Reilly Media,1978-10-26,eng,1482
Dom Quixote - in Depth,9783062760952,Isaac Asimov;Anton Chekhov,Anchor Books,1968-12-26,eng,888
Structure and Interpretation of Computer Programs - Step by Step,9781420738575,Clarice Lispector;William Faulkner;Orson Scott Card,Anchor Books,1910-02-07,eng,109
The Dispossessed - Guia Completo,9784568673715,Milton Hatoum,Anchor Books,1903-08-03,eng,770
Nudge - Tomo I,9781419394850,Michio Kaku,Princeton University Press,1909-07-06,eng,933
Mindfulness - Parte 3,9783476969361,Richard Feynman;Kurt Vonnegut,Doubleday,1930-04-08,por,176
São Bernardo - Illustrated,9788476884317,Donald Knuth,Martins Fontes,1990-11-17,zho,824
Lost Connections - Edição Revisada,9781779098924,Carl Sagan;Thomas Pynchon,Record,1925-01-23,kor,492
The Intelligent Investor - in Practice,9780236242290,James Baldwin;Carl Sagan,Leya,1908-09-13,fra,200
Invisible Man - 3ª Edição,9782242625975,Frank Herbert,Dutton,1905-09-19,eng,938
Catch-22 - Parte 2,9785170480692,Ursula K. Le Guin,No Starch Press,1978-07-22,por,1447
The Trial - 2016,9785812730840,Ernest Hemingway;Steven Skiena;Aurélien Géron,Doubleday,1953-11-22,por,1388
Como Fazer Amigos e Influenciar Pessoas - Applied,9783351558000,Suzanne Collins;Steven Skiena;Martin Fowler,Objetiva,1945-02-27,eng,610
Pattern Recognition and Machine Learning - Edição Ilustrada,9788809244139,Steve McConnell,Prentice Hall,1982-08-12,eng,469
Predictably Irrational - Nível Intermediário,9781749798830,Michio Kaku,Apress,1911-05-18,por,362
Java Concurrency in Practice - Tomo II,9786270312968,Machado de Assis,Springer,1915-01-11,eng,1447
Being Mortal - in Action,9782649751581,Betsy Beyer;Don DeLillo,Norton,2001-11-08,por,1316
Data Science from Scratch - Edição Bilíngue,9784981610526,Stephen Hawking,Puffin Books,1912-02-03,por,471
Algorithms - Handbook,9781946106759,John Steinbeck;Carl Sagan,O'Reilly Media,2002-04-06,por,986
Code Complete - Parte 1,9781535025140,Adam Grant,Random House,1974-01-26,por,1238
Artificial Intelligence A Modern Approach - 4ª Edição,9783122565688,Carol Dweck,Doubleday,1990-02-08,eng,378
O Universo Elegante - in Depth,9782054310724,Kevin Wayne,Prentice Hall,1943-04-01,spa,1393
Dois Irmãos - Nova Edição,9785363455841,Nick Bostrom;Steve McConnell;Viktor Frankl,Record,1983-12-04,por,138
Software Architecture in Practice - Edição Revisada,9781072943341,Ursula K. Le Guin,Oxford University Press,1901-04-24,eng,1086
The Dispossessed - Best Practices,9783339537287,Franz Kafka,Prentice Hall,1937-10-07,spa,674
Fahrenheit 451 - Edição de Bolso,9784003305430,Mário de Andrade;Umberto Eco,Scribner,2002-04-17,eng,337
Test Driven Development - Guia Prático,9783402414743,Nassim Nicholas Taleb;Italo Calvino,Vintage Books,1991-10-02,eng,974
Getting Things Done - A Deep Dive,9785944799821,Brian Greene,Leya,1956-02-20,por,650
Java Concurrency in Practice - Essentials,9786190990727,Max Tegmark;Kay Redfield Jamison,Crown,1964-08-03,por,476
Designing Data-Intensive Applications - Advanced Topics,9787692314189,Erich Gamma,Vintage Books,2010-08-20,eng,270
Harry Potter e a Pedra Filosofal - Edição Premium,9784253326926,Neil Gaiman,Intrínseca,1909-05-08,eng,91
The Aleph - 2018,9784298165719,Kay Redfield Jamison;Peter Norvig,Farrar Straus and Giroux,1961-10-26,eng,1111
Nudge - 2019,9786038719541,Kent Beck;Eric Ries,Houghton Mifflin,1933-08-22,spa,1392
Vidas Secas - Tomo II,9780921984771,Sam Newman,Objetiva,2011-07-28,eng,1298
Anathem - Edição Especial,9783509408935,Johann Hari,No Starch Press,1900-04-18,por,705
Shape Up - Edição Especial,9783849204792,Nassim Nicholas Taleb,O'Reilly Media,2019-04-07,rus,507
Dom Casmurro - Guia Prático,9781939124777,Neil deGrasse Tyson,Springer,1954-06-11,eng,1455
The Double Helix - 6ª Edição,9782546369865,Fyodor Dostoevsky,Scribner,1956-03-18,por,867
A República - Vol. 4,9782661967151,Robert Sedgewick;Peter Norvig,Martins Fontes,1952-05-01,jpn,732
Good Omens - Step by Step,9786969219615,Kent Beck,Bloom,2011-06-12,por,425
Radical Candor - 2016,9780988398580,Robert Cialdini,Little Brown,2008-08-24,eng,871
The Martian - Edição Definitiva,9788828238447,Nick Bostrom,Harvard University Press,1934-03-17,eng,1030
The Double Helix - Nível Iniciante,9782602076010,Donald Knuth,Random House,1991-12-06,por,1297
As 48 Leis do Poder - Handbook,9789424376182,João Guimarães Rosa,McGraw-Hill,1969-09-24,por,611
Invisible Man - 2021,9784201537046,Thomas Mann;Nassim Nicholas Taleb;Erich Gamma,Objetiva,1982-11-24,eng,178
The C Programming Language - 2023,9782977076912,Viktor Frankl;Robert C. Martin,Norton,1979-12-01,por,772
Hyperion - 4ª Edição,9788516663957,Yuval Noah Harari;Isaac Asimov,Anchor Books,1993-11-26,eng,938
When Breath Becomes Air - Edição Especial,9789289448239,Trevor Hastie,Tor Books,1972-04-12,rus,136
Code Complete - Illustrated,9781815909375,Michael Lewis,Objetiva,1956-01-25,por,1142
Poder sem Limites - Nível Avançado,9783936411676,Chris Richardson,Cambridge University Press,1986-08-22,eng,573
The Power of Habit - The Complete Guide,9789663225685,Jennifer Doudna;J.K. Rowling,Harvard University Press,1913-05-18,eng,284
Predictably Irrational - 2021,9788958398066,Chris Richardson;Michael Lewis,Puffin Books,1939-04-26,spa,1203
Dom Casmurro - 2017,9782255475116,Neil Gaiman;Douglas Adams;Kevin Wayne,Vintage Books,1923-10-24,eng,1054
